Reward,Got Flag
623.0,False
680.0,False
427.0,False
680.0,False
612.0,False
0.0,False
563.0,False
669.0,False
510.0,False
307.0,False
538.0,False
1612.0,False
1230.0,False
575.0,False
574.0,False
489.0,False
2090.0,False
1401.0,False
1304.0,False
1820.0,False
1517.0,False
1328.0,False
888.0,False
648.0,False
641.0,False
1053.0,False
641.0,False
648.0,False
1286.0,False
1640.0,False
1594.0,False
1611.0,False
1239.0,False
1243.0,False
1733.0,False
1057.0,False
1024.0,False
1002.0,False
1166.0,False
1034.0,False
621.0,False
976.0,False
1693.0,False
1873.0,False
2204.0,False
2025.0,False
968.0,False
996.0,False
2316.0,False
1060.0,False
1072.0,False
1630.0,False
1074.0,False
657.0,False
1613.0,False
645.0,False
1801.0,False
1630.0,False
1383.0,False
2011.0,False
1159.0,False
2264.0,False
1045.0,False
691.0,False
694.0,False
673.0,False
1181.0,False
2442.0,False
1062.0,False
1818.0,False
1851.0,False
1778.0,False
1595.0,False
690.0,False
1866.0,False
1101.0,False
1770.0,False
1756.0,False
688.0,False
684.0,False
1957.0,False
1446.0,False
1868.0,False
1344.0,False
1747.0,False
701.0,False
1087.0,False
2088.0,False
670.0,False
707.0,False
693.0,False
1069.0,False
1445.0,False
1081.0,False
1445.0,False
694.0,False
697.0,False
1058.0,False
696.0,False
702.0,False
706.0,False
1532.0,False
1947.0,False
1923.0,False
1896.0,False
1467.0,False
2237.0,False
1080.0,False
1057.0,False
1084.0,False
1093.0,False
689.0,False
1893.0,False
1765.0,False
1387.0,False
688.0,False
676.0,False
1123.0,False
679.0,False
660.0,False
655.0,False
652.0,False
2173.0,False
1953.0,False
2261.0,False
671.0,False
1869.0,False
674.0,False
1237.0,False
1097.0,False
696.0,False
683.0,False
1067.0,False
681.0,False
1067.0,False
1083.0,False
1471.0,False
1091.0,False
1866.0,False
1786.0,False
1442.0,False
1174.0,False
970.0,False
1087.0,False
679.0,False
1057.0,False
1793.0,False
1848.0,False
1057.0,False
1020.0,False
1038.0,False
1009.0,False
1175.0,False
683.0,False
2483.0,False
676.0,False
1556.0,False
705.0,False
707.0,False
1050.0,False
2029.0,False
2304.0,False
1049.0,False
2026.0,False
706.0,False
1599.0,False
1907.0,False
1872.0,False
1911.0,False
2393.0,False
1997.0,False
683.0,False
1083.0,False
1900.0,False
690.0,False
696.0,False
1672.0,False
1217.0,False
1795.0,False
1488.0,False
686.0,False
711.0,False
1090.0,False
697.0,False
706.0,False
1086.0,False
1044.0,False
1197.0,False
706.0,False
688.0,False
705.0,False
1301.0,False
679.0,False
1026.0,False
2397.0,False
1878.0,False
691.0,False
