Reward,GotFlag
314.0,0
314.0,0
602.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
611.0,0
602.0,0
611.0,0
602.0,0
602.0,0
611.0,0
267.0,0
602.0,0
602.0,0
602.0,0
267.0,0
818.0,0
818.0,0
1441.0,0
602.0,0
1441.0,0
1441.0,0
602.0,0
267.0,0
818.0,0
818.0,0
818.0,0
818.0,0
602.0,0
1430.0,0
818.0,0
1048.0,0
267.0,0
1051.0,0
818.0,0
1051.0,0
818.0,0
818.0,0
818.0,0
818.0,0
818.0,0
1051.0,0
1710.0,0
1710.0,0
1710.0,0
1051.0,0
1439.0,0
1710.0,0
1051.0,0
1694.0,0
1697.0,0
1692.0,0
818.0,0
1710.0,0
1931.0,0
1929.0,0
1691.0,0
818.0,0
818.0,0
818.0,0
1694.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
