Reward,GotFlag
154.0,0
519.0,0
55.0,0
74.0,0
429.0,0
151.0,0
-19.0,0
129.0,0
170.0,0
178.0,0
145.0,0
408.0,0
221.0,0
166.0,0
488.0,0
158.0,0
615.0,0
230.0,0
615.0,0
602.0,0
212.0,0
803.0,0
579.0,0
248.0,0
614.0,0
224.0,0
560.0,0
1006.0,0
738.0,0
179.0,0
667.0,0
194.0,0
1014.0,0
624.0,0
237.0,0
1444.0,1
620.0,0
220.0,0
561.0,0
612.0,0
664.0,0
778.0,0
597.0,0
246.0,0
236.0,0
579.0,0
628.0,0
1037.0,0
598.0,0
584.0,0
238.0,0
711.0,0
778.0,0
591.0,0
598.0,0
242.0,0
624.0,0
249.0,0
638.0,0
239.0,0
217.0,0
247.0,0
606.0,0
607.0,0
232.0,0
1053.0,0
616.0,0
627.0,0
602.0,0
1353.0,0
244.0,0
972.0,0
605.0,0
1023.0,0
587.0,0
1012.0,0
716.0,0
807.0,0
607.0,0
233.0,0
249.0,0
796.0,0
234.0,0
237.0,0
222.0,0
1070.0,0
1544.0,0
229.0,0
637.0,0
236.0,0
1030.0,0
1283.0,0
1132.0,0
245.0,0
811.0,0
1036.0,0
739.0,0
629.0,0
242.0,0
1004.0,0
248.0,0
1332.0,0
1038.0,0
1034.0,0
621.0,0
1315.0,0
1038.0,0
730.0,0
1041.0,0
235.0,0
226.0,0
630.0,0
1028.0,0
604.0,0
235.0,0
805.0,0
236.0,0
991.0,0
631.0,0
249.0,0
774.0,0
1039.0,0
243.0,0
1017.0,0
709.0,0
1431.0,0
1040.0,0
742.0,0
631.0,0
1399.0,0
1688.0,0
229.0,0
607.0,0
1318.0,0
604.0,0
246.0,0
726.0,0
246.0,0
237.0,0
609.0,0
616.0,0
616.0,0
243.0,0
638.0,0
1428.0,0
2592.0,0
239.0,0
1027.0,0
249.0,0
609.0,0
624.0,0
248.0,0
595.0,0
637.0,0
805.0,0
652.0,0
1681.0,0
601.0,0
774.0,0
622.0,0
243.0,0
249.0,0
241.0,0
1317.0,0
618.0,0
250.0,0
812.0,0
611.0,0
1321.0,0
