Reward,GotFlag
116.0,0
70.0,0
101.0,0
267.0,0
182.0,0
333.0,0
206.0,0
477.0,0
439.0,0
251.0,0
158.0,0
502.0,0
239.0,0
602.0,0
219.0,0
474.0,0
230.0,0
253.0,0
600.0,0
1184.0,0
390.0,0
486.0,0
1193.0,0
248.0,0
637.0,0
578.0,0
233.0,0
224.0,0
601.0,0
316.0,0
467.0,0
216.0,0
229.0,0
242.0,0
403.0,0
230.0,0
316.0,0
178.0,0
392.0,0
399.0,0
808.0,0
790.0,0
379.0,0
237.0,0
386.0,0
1213.0,0
232.0,0
229.0,0
234.0,0
355.0,0
999.0,0
319.0,0
602.0,0
351.0,0
358.0,0
631.0,0
579.0,0
1226.0,0
583.0,0
405.0,0
404.0,0
602.0,0
463.0,0
230.0,0
235.0,0
723.0,0
249.0,0
325.0,0
1238.0,0
388.0,0
620.0,0
461.0,0
311.0,0
305.0,0
299.0,0
332.0,0
1215.0,0
225.0,0
247.0,0
778.0,0
400.0,0
1008.0,0
1639.0,0
472.0,0
584.0,0
463.0,0
389.0,0
246.0,0
1071.0,0
274.0,0
399.0,0
625.0,0
394.0,0
324.0,0
333.0,0
470.0,0
612.0,0
1762.0,0
602.0,0
245.0,0
788.0,0
236.0,0
243.0,0
1018.0,0
606.0,0
469.0,0
425.0,0
1295.0,0
466.0,0
1328.0,0
390.0,0
419.0,0
625.0,0
381.0,0
1210.0,0
402.0,0
402.0,0
249.0,0
418.0,0
612.0,0
395.0,0
629.0,0
249.0,0
1310.0,0
238.0,0
247.0,0
388.0,0
231.0,0
463.0,0
758.0,0
387.0,0
1033.0,0
418.0,0
611.0,0
609.0,0
469.0,0
812.0,0
1220.0,0
495.0,0
251.0,0
365.0,0
385.0,0
778.0,0
359.0,0
1321.0,0
397.0,0
347.0,0
248.0,0
2007.0,0
1024.0,0
251.0,0
404.0,0
367.0,0
467.0,0
637.0,0
464.0,0
612.0,0
1039.0,0
467.0,0
610.0,0
382.0,0
399.0,0
668.0,0
493.0,0
992.0,0
1334.0,0
760.0,0
463.0,0
1013.0,0
466.0,0
1188.0,0
1042.0,0
351.0,0
612.0,0
604.0,0
738.0,0
589.0,0
242.0,0
1219.0,0
468.0,0
1722.0,0
227.0,0
245.0,0
240.0,0
273.0,0
1219.0,0
592.0,0
249.0,0
1832.0,0
397.0,0
272.0,0
247.0,0
289.0,0
392.0,0
468.0,0
618.0,0
1016.0,0
1210.0,0
1065.0,0
1214.0,0
601.0,0
392.0,0
465.0,0
238.0,0
371.0,0
234.0,0
1000.0,0
609.0,0
469.0,0
606.0,0
287.0,0
1219.0,0
1577.0,0
1219.0,0
1210.0,0
315.0,0
1037.0,0
474.0,0
464.0,0
350.0,0
251.0,0
732.0,0
229.0,0
233.0,0
1848.0,0
1240.0,0
395.0,0
365.0,0
1322.0,0
1047.0,0
606.0,0
1042.0,0
467.0,0
369.0,0
395.0,0
412.0,0
274.0,0
387.0,0
371.0,0
803.0,0
1038.0,0
1204.0,0
1410.0,0
383.0,0
467.0,0
621.0,0
594.0,0
624.0,0
762.0,0
1047.0,0
1321.0,0
1339.0,0
464.0,0
461.0,0
1683.0,0
739.0,0
467.0,0
632.0,0
247.0,0
2287.0,0
339.0,0
1313.0,0
632.0,0
248.0,0
470.0,0
1221.0,0
484.0,0
1225.0,0
231.0,0
725.0,0
1037.0,0
389.0,0
1693.0,0
1224.0,0
641.0,0
389.0,0
748.0,0
635.0,0
1226.0,0
279.0,0
469.0,0
604.0,0
387.0,0
1242.0,0
2020.0,0
392.0,0
410.0,0
1580.0,0
1744.0,0
1222.0,0
762.0,0
249.0,0
625.0,0
275.0,0
614.0,0
1697.0,0
1437.0,0
1225.0,0
247.0,0
286.0,0
467.0,0
408.0,0
617.0,0
1321.0,0
376.0,0
1717.0,0
1322.0,0
1224.0,0
387.0,0
386.0,0
247.0,0
463.0,0
273.0,0
608.0,0
238.0,0
466.0,0
706.0,0
249.0,0
610.0,0
1048.0,0
251.0,0
233.0,0
619.0,0
250.0,0
273.0,0
397.0,0
638.0,0
383.0,0
251.0,0
384.0,0
470.0,0
243.0,0
1218.0,0
252.0,0
326.0,0
406.0,0
633.0,0
402.0,0
1044.0,0
1066.0,0
626.0,0
1435.0,0
818.0,0
470.0,0
1226.0,0
627.0,0
1420.0,0
1222.0,0
802.0,0
1334.0,0
271.0,0
1696.0,0
242.0,0
232.0,0
611.0,0
1046.0,0
1845.0,0
623.0,0
384.0,0
612.0,0
249.0,0
251.0,0
401.0,0
383.0,0
359.0,0
249.0,0
623.0,0
401.0,0
1743.0,0
366.0,0
282.0,0
463.0,0
419.0,0
249.0,0
409.0,0
1226.0,0
605.0,0
246.0,0
748.0,0
1226.0,0
1221.0,0
373.0,0
469.0,0
813.0,0
405.0,0
395.0,0
248.0,0
385.0,0
1701.0,0
271.0,0
602.0,0
1041.0,0
463.0,0
470.0,0
1345.0,0
278.0,0
1923.0,0
351.0,0
250.0,0
636.0,0
1336.0,0
620.0,0
1223.0,0
1043.0,0
1226.0,0
626.0,0
380.0,0
236.0,0
621.0,0
465.0,0
765.0,0
398.0,0
251.0,0
618.0,0
249.0,0
272.0,0
2007.0,0
397.0,0
247.0,0
618.0,0
252.0,0
1226.0,0
1241.0,0
741.0,0
399.0,0
396.0,0
766.0,0
1040.0,0
1837.0,0
2502.0,0
249.0,0
637.0,0
471.0,0
274.0,0
1437.0,0
248.0,0
395.0,0
408.0,0
1340.0,0
617.0,0
1041.0,0
382.0,0
467.0,0
418.0,0
1408.0,0
470.0,0
402.0,0
622.0,0
249.0,0
1159.0,0
1224.0,0
389.0,0
633.0,0
1224.0,0
468.0,0
238.0,0
251.0,0
609.0,0
232.0,0
385.0,0
252.0,0
272.0,0
1736.0,0
630.0,0
608.0,0
248.0,0
468.0,0
1035.0,0
652.0,0
392.0,0
378.0,0
2783.0,0
1227.0,0
466.0,0
617.0,0
1225.0,0
629.0,0
394.0,0
248.0,0
420.0,0
608.0,0
1335.0,0
345.0,0
1329.0,0
252.0,0
770.0,0
607.0,0
814.0,0
367.0,0
271.0,0
244.0,0
248.0,0
600.0,0
250.0,0
406.0,0
652.0,0
1228.0,0
625.0,0
1225.0,0
1222.0,0
605.0,0
630.0,0
623.0,0
271.0,0
472.0,0
248.0,0
469.0,0
401.0,0
248.0,0
467.0,0
417.0,0
631.0,0
1221.0,0
247.0,0
247.0,0
472.0,0
252.0,0
1052.0,0
1232.0,0
395.0,0
381.0,0
250.0,0
1048.0,0
610.0,0
468.0,0
625.0,0
278.0,0
405.0,0
1039.0,0
236.0,0
1345.0,0
1033.0,0
251.0,0
252.0,0
1224.0,0
249.0,0
247.0,0
288.0,0
619.0,0
1215.0,0
1048.0,0
1040.0,0
466.0,0
612.0,0
1043.0,0
349.0,0
2497.0,0
359.0,0
1247.0,0
252.0,0
404.0,0
401.0,0
460.0,0
489.0,0
470.0,0
471.0,0
419.0,0
412.0,0
248.0,0
2502.0,0
1042.0,0
1144.0,0
608.0,0
1340.0,0
416.0,0
421.0,0
624.0,0
1324.0,0
386.0,0
284.0,0
471.0,0
385.0,0
603.0,0
1222.0,0
652.0,0
1226.0,0
1053.0,0
1574.0,0
396.0,0
1215.0,0
378.0,0
1344.0,0
633.0,0
636.0,0
634.0,0
1034.0,0
237.0,0
239.0,0
1048.0,0
271.0,0
1230.0,0
390.0,0
1328.0,0
251.0,0
247.0,0
279.0,0
272.0,0
600.0,0
402.0,0
403.0,0
237.0,0
467.0,0
1348.0,0
1576.0,0
610.0,0
252.0,0
236.0,0
630.0,0
361.0,0
252.0,0
1336.0,0
1763.0,0
467.0,0
286.0,0
608.0,0
403.0,0
469.0,0
606.0,0
2493.0,0
610.0,0
372.0,0
1746.0,0
1989.0,0
398.0,0
1000.0,0
1806.0,0
632.0,0
629.0,0
1351.0,0
253.0,0
242.0,0
272.0,0
1223.0,0
247.0,0
404.0,0
1040.0,0
1041.0,0
1399.0,0
284.0,0
607.0,0
472.0,0
470.0,0
247.0,0
631.0,0
1318.0,0
1328.0,0
406.0,0
270.0,0
