Reward,GotFlag
602.0,0
314.0,0
602.0,0
-21.0,0
602.0,0
602.0,0
602.0,0
267.0,0
602.0,0
602.0,0
602.0,0
267.0,0
602.0,0
602.0,0
602.0,0
267.0,0
602.0,0
240.0,0
602.0,0
602.0,0
267.0,0
602.0,0
602.0,0
602.0,0
267.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
314.0,0
314.0,0
314.0,0
-21.0,0
252.0,0
240.0,0
252.0,0
252.0,0
252.0,0
252.0,0
240.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
240.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
240.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
252.0,0
