Iteration,BatchReward,GotFlag,AverageActorLoss,PercentageCompleted
153,15953.0,0,-0.04443917,10.61%
154,17065.0,0,-0.007082864,10.68%
155,17320.0,0,0.3937367,10.75%
156,15342.0,0,-0.005587214,10.81%
157,18811.0,0,-0.005628681,10.89%
158,18209.0,0,-0.008488093,10.96%
159,16044.0,0,-0.08298711,11.03%
160,18263.0,0,-0.010009916,11.10%
161,15899.0,0,0.07940895,11.17%
162,16368.0,0,-0.14967623,11.23%
163,17270.0,0,-0.022546435,11.30%
164,15845.0,0,0.030411715,11.37%
165,15356.0,0,-0.008470896,11.44%
166,15225.0,0,-0.007808321,11.51%
167,18405.0,0,-0.007287588,11.58%
168,16345.0,1,-0.03490161,11.65%
169,16919.0,0,-0.0070193713,11.72%
170,15851.0,0,0.08893809,11.78%
171,15579.0,0,-0.027864562,11.85%
172,15322.0,0,-0.03860635,11.92%
173,18632.0,0,0.006468482,12.00%
174,14677.0,0,0.10417772,12.07%
175,15326.0,0,0.055331606,12.14%
176,14867.0,0,0.010043266,12.21%
177,14019.0,0,-0.010909026,12.27%
178,16213.0,0,0.096994005,12.35%
179,13975.0,0,0.042501487,12.42%
180,14620.0,0,-0.106931716,12.49%
181,15657.0,0,-0.121204056,12.56%
182,14557.0,0,-0.03500037,12.63%
183,14378.0,0,-0.13938548,12.69%
184,15311.0,0,-0.028436875,12.76%
185,16439.0,0,0.101163976,12.83%
186,14514.0,0,-0.1330312,12.90%
187,15959.0,0,-0.05000921,12.97%
188,16096.0,0,0.012197509,13.04%
189,15713.0,0,-0.07222949,13.10%
190,15953.0,0,0.0012292127,13.17%
191,15682.0,0,-0.06482838,13.24%
192,17093.0,0,0.05526361,13.31%
193,17316.0,0,-0.007927074,13.38%
194,17398.0,0,-0.011403987,13.45%
195,16997.0,0,-0.011541725,13.53%
196,15910.0,0,-0.20801884,13.59%
197,16318.0,0,0.021057466,13.66%
198,16416.0,0,-0.018261803,13.73%
199,14961.0,0,-0.010694037,13.80%
200,16730.0,0,-0.04392657,13.87%
201,15707.0,0,-0.09919892,13.93%
202,16889.0,0,0.078857206,14.00%
203,15054.0,0,0.06247015,14.07%
204,16684.0,0,-0.14797859,14.14%
205,14583.0,0,-0.00564812,14.21%
206,17087.0,0,-0.012803605,14.28%
207,16432.0,0,0.023928137,14.36%
208,15727.0,0,-0.038148124,14.43%
209,16354.0,0,-0.09053847,14.50%
210,14079.0,0,0.059458215,14.56%
211,17028.0,0,-0.03010269,14.63%
212,18647.0,0,0.004674786,14.70%
213,15659.0,1,-0.029786982,14.77%
214,15066.0,0,0.09739076,14.84%
215,14645.0,0,-0.09121182,14.90%
216,16915.0,0,0.006637166,14.97%
217,16169.0,0,-0.009090017,15.04%
218,15561.0,0,-0.009785223,15.11%
219,16995.0,0,0.11634952,15.18%
220,15368.0,0,-0.0027666413,15.25%
221,15577.0,0,0.09297496,15.31%
222,14577.0,0,-0.010653886,15.38%
223,15523.0,0,-0.007653554,15.45%
224,16669.0,0,-0.0111663295,15.52%
225,16305.0,0,-0.02155476,15.59%
226,14259.0,0,0.07116514,15.66%
227,16442.0,0,0.0849714,15.73%
228,15263.0,0,-0.20303042,15.80%
229,17889.0,0,0.060552508,15.87%
230,16468.0,0,-0.011956394,15.93%
231,16106.0,0,0.056147933,16.00%
232,17092.0,0,0.022786066,16.07%
233,14672.0,0,-0.010237918,16.14%
234,16671.0,0,-0.08822753,16.21%
235,16722.0,0,-0.08067575,16.28%
236,16609.0,0,-0.016110031,16.35%
237,14084.0,0,-0.02272361,16.42%
238,17495.0,0,0.0466284,16.49%
239,14345.0,0,-0.01196979,16.56%
240,17393.0,0,-0.10788267,16.62%
241,15881.0,0,-0.04971285,16.69%
242,15601.0,0,-0.012033883,16.76%
243,17843.0,0,-0.0064064,16.83%
244,16032.0,0,-0.009262599,16.90%
245,17596.0,0,0.07078559,16.97%
246,16652.0,0,-0.011617221,17.04%
247,15904.0,0,-0.03840866,17.11%
248,15313.0,0,-0.17046227,17.18%
249,15295.0,0,-0.015507105,17.25%
250,15881.0,0,0.10990293,17.32%
251,14537.0,0,-0.08808682,17.39%
252,16495.0,0,-0.012496017,17.46%
253,16592.0,0,-0.09365389,17.52%
254,17344.0,0,-0.077515416,17.59%
255,16895.0,0,-0.08987376,17.66%
256,16260.0,0,0.08674031,17.73%
257,15997.0,0,0.08576745,17.80%
258,14523.0,0,-0.015080996,17.86%
259,17778.0,0,-0.074979976,17.94%
260,16665.0,0,-0.019026048,18.01%
261,14892.0,0,-0.024050424,18.08%
262,14534.0,0,-0.07168684,18.14%
263,15044.0,0,-0.013671495,18.21%
264,15594.0,0,-0.00882886,18.28%
265,17061.0,0,0.050257582,18.35%
266,16962.0,0,0.0125188045,18.42%
267,16331.0,0,0.063979074,18.48%
268,16128.0,0,-0.0669876,18.55%
269,15612.0,0,0.12848996,18.62%
270,16203.0,0,-0.013248759,18.69%
271,16632.0,0,-0.0025340647,18.76%
272,15363.0,0,-0.06033389,18.83%
273,16109.0,0,-0.122801684,18.90%
274,16669.0,0,-0.015375041,18.97%
275,17563.0,0,-0.10241514,19.04%
276,15550.0,0,0.07681478,19.11%
277,16271.0,0,-0.032669663,19.18%
278,15906.0,0,-0.04921539,19.25%
279,16356.0,0,0.13092007,19.32%
280,17306.0,0,0.018246569,19.39%
281,16650.0,0,-0.009986808,19.46%
282,14900.0,0,0.11660405,19.53%
283,16212.0,0,-0.013591913,19.60%
284,17162.0,0,0.17778857,19.66%
285,14764.0,0,-0.12810887,19.73%
286,15832.0,0,-0.020819006,19.80%
287,16581.0,0,-0.05619806,19.87%
288,13657.0,0,0.057999298,19.94%
289,16057.0,0,0.0025712107,20.00%
290,18513.0,0,-0.081553556,20.08%
291,15940.0,0,0.16053034,20.14%
292,15377.0,0,0.03856568,20.21%
293,16699.0,0,0.04571814,20.28%
294,16758.0,0,0.029438784,20.35%
295,17561.0,0,-0.009624583,20.42%
296,18454.0,0,0.014849612,20.49%
297,17365.0,0,0.0916185,20.56%
298,15808.0,0,0.02262006,20.63%
299,16706.0,0,-0.062120546,20.70%
300,16484.0,0,-0.0178602,20.77%
301,16897.0,0,-0.03871828,20.83%
302,16845.0,0,-0.09067892,20.90%
303,16995.0,0,-0.023037009,20.97%
304,15614.0,0,-0.022778193,21.05%
305,15496.0,0,-0.06749033,21.11%
306,14537.0,0,-0.006691061,21.18%
307,15865.0,0,-0.006727611,21.25%
308,15838.0,0,0.12440314,21.32%
309,15986.0,0,-0.011183414,21.39%
310,16733.0,0,-0.035523392,21.46%
311,14767.0,0,-0.011481278,21.53%
312,16847.0,0,0.027927792,21.59%
313,15860.0,0,-0.03135412,21.66%
314,15075.0,0,0.00013063972,21.73%
315,17214.0,0,-0.01102759,21.79%
316,15343.0,0,-0.007447439,21.86%
317,14907.0,0,-0.030838192,21.93%
318,17908.0,0,0.13668667,22.00%
319,15513.0,0,0.028705373,22.08%
320,14827.0,0,-0.088742115,22.14%
321,14739.0,0,-0.2010932,22.21%
322,16681.0,0,-0.08690539,22.28%
323,17629.0,0,-0.079583034,22.35%
324,16509.0,0,0.0044819093,22.42%
325,14889.0,0,0.014459389,22.49%
326,15119.0,0,-0.09158816,22.56%
327,16814.0,0,-0.027104741,22.63%
328,15113.0,0,-0.059839085,22.69%
329,15942.0,0,0.05932037,22.76%
330,15838.0,0,-0.0187254,22.83%
331,15905.0,0,-0.011391457,22.90%
332,15764.0,0,-0.011720492,22.97%
333,15427.0,0,-0.04461887,23.04%
334,16172.0,0,0.031478662,23.10%
335,15358.0,0,0.034411255,23.18%
336,16701.0,0,-0.027739652,23.25%
337,16261.0,0,-0.22320993,23.32%
338,17514.0,0,0.00017006596,23.39%
339,16816.0,0,-0.014125282,23.46%
340,17560.0,0,0.051133506,23.53%
341,13469.0,0,-0.01591101,23.59%
342,16139.0,0,-0.008538989,23.66%
343,15731.0,0,-0.2288646,23.74%
344,15773.0,0,-0.095325775,23.80%
345,15668.0,0,-0.05454521,23.87%
346,16706.0,0,-0.015857678,23.94%
347,15114.0,0,-0.01865941,24.01%
348,17336.0,0,-0.015826726,24.08%
349,16213.0,0,0.039998565,24.15%
350,16984.0,0,-0.030627042,24.22%
351,17592.0,0,-0.013018988,24.29%
352,17124.0,0,0.02016778,24.36%
353,15858.0,0,-0.016277649,24.43%
354,15659.0,0,0.14398848,24.50%
355,16160.0,0,-0.1646358,24.57%
356,17458.0,0,-0.0086815385,24.64%
357,16438.0,0,0.033766832,24.71%
358,17243.0,0,-0.011618021,24.78%
359,17564.0,0,0.0015001595,24.84%
360,16415.0,0,-0.012895026,24.91%
361,16622.0,0,0.061215397,24.98%
362,18427.0,0,0.1385533,25.05%
363,17833.0,0,-0.08547225,25.12%
364,16048.0,0,-0.04846765,25.19%
365,17068.0,0,0.027079267,25.25%
366,16257.0,0,-0.2392918,25.32%
367,16190.0,0,-0.02369398,25.39%
368,17525.0,0,-0.069102935,25.46%
369,17481.0,0,0.035503138,25.53%
370,17422.0,0,-0.12645918,25.60%
371,16726.0,0,-0.07376205,25.67%
372,17537.0,0,0.04348557,25.74%
373,18161.0,0,-0.011764672,25.81%
374,17367.0,0,-0.06809317,25.88%
375,15023.0,0,-0.043444935,25.95%
376,17587.0,0,0.052886087,26.02%
377,17533.0,0,-0.024907777,26.09%
378,17254.0,0,0.10332728,26.16%
379,16926.0,0,-0.17379601,26.23%
380,17663.0,0,-0.01678712,26.30%
381,17640.0,0,-0.07919857,26.36%
382,17456.0,0,0.06783233,26.43%
383,18015.0,0,0.1353264,26.50%
384,16822.0,0,0.015937857,26.57%
