Episode,Reward
301,119.378
302,123.378
303,121.378
304,133.19
305,143.378
306,517.0899999999988
307,141.13799999999998
308,139.378
309,341.78700000000003
310,149.378
311,149.378
312,321.0019999999999
313,149.378
314,509.0969999999991
315,135.378
316,149.378
317,151.378
318,127.378
319,144.39499999999998
320,329.7289999999999
321,125.378
322,149.378
323,143.378
324,149.378
325,565.6009999999999
326,149.378
327,151.378
328,141.378
329,136.666
330,329.1839999999996
331,136.666
332,135.36
333,1046.7090000000044
334,480.78099999999836
335,135.378
336,117.378
337,295.876
338,696.134999999999
339,137.378
340,592.6409999999998
341,149.378
342,149.378
343,151.378
344,339.1869999999996
345,142.554
346,129.378
347,139.378
348,1068.0829999999924
349,149.378
350,149.378
351,139.378
352,131.378
353,139.378
354,778.3379999999995
355,145.68
356,137.378
357,137.378
358,139.378
359,666.8829999999991
360,312.273
361,141.378
362,353.96799999999985
363,1196.8959999999988
364,328.167
365,1584.5949999999991
366,3197.9970000000576
367,595.496999999997
368,151.77
369,127.378
370,147.378
371,149.378
372,129.378
373,129.947
374,129.947
375,129.378
376,152.531
377,129.378
378,380.0679999999995
379,152.531
380,377.7369999999998
381,131.378
382,629.262999999999
383,1591.81300000001
384,794.0379999999993
385,1968.3029999999794
386,127.378
387,131.378
388,125.378
389,785.5749999999985
390,132.564
391,255.378
392,127.378
393,135.378
394,127.378
395,126.65
396,131.561
397,123.378
398,126.65
399,127.378
400,125.378
401,136.666
402,149.378
403,806.6679999999985
404,131.561
405,131.561
406,310.40999999999997
407,137.378
408,137.378
409,134.079
410,133.378
411,139.378
412,143.378
413,128.681
414,131.378
415,129.378
416,128.681
417,138.607
418,133.378
419,133.378
420,127.949
421,127.949
422,130.649
423,118.62
424,131.378
425,123.378
426,123.378
427,740.5299999999993
428,127.378
429,126.65
430,137.099
431,129.378
432,123.378
433,126.65
434,127.947
435,340.13899999999984
436,132.322
437,127.378
438,133.378
439,615.6139999999988
440,123.378
441,124.654
442,132.083
443,125.378
444,125.378
445,125.378
446,125.378
447,125.53399999999999
448,125.378
449,127.378
450,127.378
451,117.378
452,123.378
453,141.378
454,133.378
455,137.378
456,123.378
457,556.8059999999982
458,123.378
459,123.378
460,1701.4099999999844
461,345.60399999999976
462,129.378
463,137.378
464,129.378
465,127.378
466,129.378
467,129.378
468,129.378
469,137.378
470,137.378
471,373.1769999999996
472,131.378
473,133.378
474,144.61100000000002
475,133.378
476,131.378
477,125.378
478,135.378
479,125.378
480,471.3389999999989
481,129.378
482,129.378
483,135.378
484,126.65
485,129.378
486,127.378
487,131.929
488,137.378
489,137.378
490,133.378
491,145.378
492,1624.5409999999922
493,141.378
494,131.378
495,133.378
496,127.378
497,131.378
498,131.378
499,1464.5449999999928
500,131.378
501,137.378
502,137.378
503,502.8999999999984
504,131.378
505,129.378
506,137.378
507,129.378
508,129.378
509,141.378
510,469.3169999999986
511,137.378
512,141.378
513,133.378
514,131.378
515,322.15799999999996
516,131.378
517,133.378
518,131.378
519,129.378
520,133.378
521,133.378
522,129.378
523,133.378
524,133.378
525,1369.459000000003
526,129.378
527,942.8609999999983
528,131.929
529,133.378
530,133.378
531,570.5779999999984
532,131.929
533,632.2170000000002
534,149.378
535,133.378
536,815.6789999999963
537,480.3099999999986
538,127.947
539,127.378
540,1278.1349999999907
541,141.378
542,135.378
543,135.378
544,141.378
545,141.378
546,141.378
547,135.378
548,135.378
549,133.919
550,141.378
551,135.378
552,133.378
553,139.378
554,742.2749999999976
555,126.669
556,132.671
557,131.378
558,131.378
559,125.378
560,133.378
561,133.378
562,139.378
563,147.83999999999997
564,1132.9489999999973
565,131.378
566,132.676
567,131.378
568,1462.9819999999959
569,149.378
570,136.341
571,503.54099999999966
572,131.378
573,658.1769999999979
574,131.378
575,1188.1459999999977
576,149.378
577,131.60899999999998
578,121.378
579,133.378
580,131.378
581,647.5809999999987
582,133.378
583,137.378
584,119.378
585,143.378
586,133.378
587,139.378
588,135.378
589,138.244
590,123.378
591,149.378
592,151.425
593,132.06099999999998
594,149.534
595,149.534
596,149.534
597,1714.2309999999854
598,135.378
599,133.378
600,132.461
