Episode,Reward
601,133.378
602,133.378
603,135.378
604,133.378
605,141.378
606,133.378
607,135.378
608,141.378
609,141.378
610,135.378
611,509.0669999999985
612,129.378
613,143.378
614,135.378
615,139.378
616,139.378
617,127.378
618,133.378
619,117.378
620,143.378
621,143.378
622,143.378
623,127.378
624,135.378
625,127.378
626,135.378
627,143.378
628,126.646
629,126.646
630,131.378
631,135.378
632,135.378
633,131.378
634,126.646
635,134.62
636,127.378
637,728.409999999999
638,135.378
639,135.378
640,139.378
641,139.378
642,143.378
643,136.341
644,131.378
645,131.378
646,135.378
647,135.378
648,1501.5979999999895
649,137.745
650,143.378
651,135.378
652,117.378
653,135.378
654,122.461
655,135.378
656,122.54599999999999
657,775.0419999999962
658,143.378
659,147.378
660,143.378
661,788.0049999999972
662,485.0129999999992
663,139.899
664,135.378
665,125.378
666,135.378
667,135.378
668,135.378
669,854.1919999999956
670,139.378
671,139.378
672,131.378
673,131.378
674,143.378
675,141.378
676,131.378
677,131.378
678,131.378
679,143.378
680,143.378
681,137.378
682,139.378
683,149.378
684,123.378
685,133.378
686,133.378
687,131.378
688,131.378
689,131.927
690,122.656
691,133.378
692,133.378
693,139.378
694,133.378
695,133.378
696,143.378
697,133.378
698,139.378
699,135.378
700,687.2799999999983
701,119.378
702,137.378
703,119.378
704,121.378
705,135.378
706,143.378
707,129.378
708,131.378
709,685.1579999999988
710,117.378
711,1662.7859999999903
712,125.378
713,141.369
714,135.378
715,133.378
716,117.378
717,795.9029999999991
718,541.6479999999985
719,127.378
720,406.6409999999996
721,126.729
722,152.83999999999997
723,133.919
724,145.534
725,362.9709999999996
726,134.244
727,574.6199999999984
728,129.378
729,133.534
730,137.378
731,835.3949999999978
732,137.378
733,941.8149999999971
734,1846.0659999999846
735,135.378
736,135.378
737,139.885
738,135.378
739,121.378
740,141.378
741,149.378
742,137.378
743,137.378
744,135.378
745,137.378
746,137.378
747,137.378
748,137.378
749,148.531
750,133.378
751,135.378
752,135.378
753,135.378
754,1596.1559999999884
755,797.4339999999971
756,139.378
757,149.378
758,149.378
759,136.665
760,145.751
761,137.378
762,149.378
763,139.378
764,139.378
765,135.378
766,135.378
767,139.378
768,135.378
769,674.457999999997
770,137.378
771,139.378
772,139.378
773,143.378
774,139.378
775,857.226000000001
776,143.378
777,143.378
778,135.378
779,135.378
780,135.378
781,145.378
782,133.927
783,139.378
784,125.378
785,393.50399999999956
786,139.378
787,141.378
788,141.378
789,141.378
790,131.378
791,133.378
792,141.378
793,131.378
794,1116.6059999999961
795,145.378
796,139.378
797,143.378
798,149.378
799,141.378
800,996.0739999999975
801,141.378
802,141.378
803,141.378
804,638.5809999999972
805,137.378
806,137.378
807,137.378
808,129.378
809,139.378
810,137.378
811,137.378
812,135.378
813,135.378
814,135.378
815,135.378
816,139.378
817,135.378
818,674.7219999999983
819,141.378
820,137.378
821,137.378
822,139.378
823,139.378
824,141.378
825,141.378
826,141.378
827,137.378
828,129.378
829,129.378
830,123.378
831,141.378
832,137.378
833,850.8179999999958
834,136.809
835,139.32999999999998
836,129.378
837,123.378
838,129.378
839,129.378
840,129.378
841,551.0869999999986
842,1187.948999999994
843,129.378
844,139.378
845,119.378
846,119.378
847,119.378
848,131.692
849,140.655
850,139.378
851,129.378
852,121.66
853,129.378
854,129.378
855,129.378
856,134.106
857,476.7129999999989
858,129.378
859,320.313
860,143.378
861,129.378
862,1111.9489999999919
863,143.378
864,148.636
865,141.378
866,143.378
867,1150.5499999999952
868,135.378
869,137.378
870,135.378
871,149.378
872,137.378
873,787.1679999999964
874,139.32999999999998
875,141.378
876,631.0009999999983
877,143.378
878,638.524999999997
879,899.2679999999955
880,129.378
881,133.378
882,596.6509999999988
883,139.378
884,143.378
885,139.378
886,133.927
887,568.3669999999985
888,143.378
889,139.378
890,143.378
891,133.378
892,364.10599999999994
893,1175.357999999998
894,131.647
895,132.92700000000002
896,130.75600000000003
897,127.378
898,127.378
899,136.666
900,149.378
